ts,datetime,MidPoint,MidPoint_500ms,MidPoint_1000ms
1345040269000000000,2012-08-15T09:17:49.000000000,2352.3,2352.3,2352.3
1345040269500000000,2012-08-15T09:17:49.500000000,2352.3,2352.3,2352.3
1345040270000000000,2012-08-15T09:17:50.000000000,2352.3,2352.3,2352.3
1345040270500000000,2012-08-15T09:17:50.500000000,2352.3,2352.3,2352.3
1345040272000000000,2012-08-15T09:17:52.000000000,2352.3,2352.3,2352.3
1345040272500000000,2012-08-15T09:17:52.500000000,2352.3,2352.3,2352.3
1345040273000000000,2012-08-15T09:17:53.000000000,2352.3,2352.3,2352.3
1345040273500000000,2012-08-15T09:17:53.500000000,2352.3,2352.3,2352.3
1345040274000000000,2012-08-15T09:17:54.000000000,2352.3,2352.3,2352.3
1345040274500000000,2012-08-15T09:17:54.500000000,2352.3,2352.3,2352.3
1345040275000000000,2012-08-15T09:17:55.000000000,2352.3,2352.3,2352.3
1345040275500000000,2012-08-15T09:17:55.500000000,2352.3,2352.3,2352.3
1345040276000000000,2012-08-15T09:17:56.000000000,2352.3,2352.3,2352.3
1345040276500000000,2012-08-15T09:17:56.500000000,2352.3,2352.3,2352.3
1345040277000000000,2012-08-15T09:17:57.000000000,2352.3,2352.3,2352.3
1345040277500000000,2012-08-15T09:17:57.500000000,2352.3,2352.3,2352.3
1345040278000000000,2012-08-15T09:17:58.000000000,2352.3,2352.3,2352.3
