pred_horizon_s,signal_thres,vol_thres,pnl_total,pnl_per_round,num_rounds,point_avg_c_up,point_avg_up_c_up,percentage_up_c_up,point_avg_down_c_up,percentage_down_c_up,num_rounds_up,point_avg_c_down,point_avg_down_c_down,percentage_down_c_down,point_avg_up_c_down,percentage_up_c_down,num_rounds_down
2,0.21,0.2,1191762,102,11657,0.35,0.6,71.65,-0.42,18.87,5782,-0.34,-0.58,71.73,0.44,18.45,5875
5,0.21,0.2,1004790,86,11657,0.3,0.86,59.27,-0.65,33.17,5782,-0.28,-0.81,59.9,0.65,31.9,5875
10,0.21,0.2,1019580,87,11657,0.32,1.17,55.71,-0.85,38.74,5782,-0.26,-1.08,56.19,0.9,38.43,5875
2,0.21,0.21,1141122,103,11102,0.35,0.6,71.54,-0.43,19.04,5516,-0.34,-0.58,71.64,0.44,18.67,5586
5,0.21,0.21,957210,86,11102,0.3,0.87,59.12,-0.66,33.38,5516,-0.28,-0.82,59.68,0.66,32.12,5586
10,0.21,0.21,972150,88,11102,0.32,1.18,55.42,-0.86,38.96,5516,-0.27,-1.1,56.21,0.91,38.38,5586
2,0.21,0.22,1096692,104,10554,0.35,0.61,71.33,-0.43,19.28,5250,-0.34,-0.59,71.81,0.44,18.78,5304
5,0.21,0.22,918270,87,10554,0.3,0.88,58.95,-0.67,33.54,5250,-0.28,-0.84,59.65,0.67,32.3,5304
10,0.21,0.22,936450,89,10554,0.32,1.19,55.31,-0.87,39.2,5250,-0.27,-1.11,56.39,0.93,38.33,5304
2,0.21,0.23,1044477,104,10009,0.35,0.62,71.23,-0.44,19.46,4970,-0.34,-0.59,71.82,0.44,19.07,5039
5,0.21,0.23,880110,88,10009,0.3,0.89,58.95,-0.67,33.62,4970,-0.29,-0.85,59.75,0.67,32.25,5039
10,0.21,0.23,891600,89,10009,0.32,1.2,55.15,-0.88,39.36,4970,-0.28,-1.13,56.58,0.94,38.18,5039
2,0.21,0.24,1001856,105,9556,0.35,0.62,71.12,-0.44,19.58,4730,-0.34,-0.6,71.78,0.45,19.13,4826
